work_year,experience_level,job_title,salary_in_usd
2022,MI,Data Engineer,63900
2022,MI,Machine Learning Scientist,160000
2022,MI,Machine Learning Scientist,112300
2022,MI,Data Science Manager,241000
2022,MI,Data Science Manager,159000
2022,SE,Data Scientist,180000
2022,SE,Data Scientist,80000
2022,MI,Data Engineer,82900
2022,SE,Data Engineer,100800
2022,MI,Data Engineer,49461
2022,SE,Data Scientist,140400
2022,MI,Data Analyst,39263
2022,MI,Data Analyst,43966
2022,MI,Data Analyst,32974
2022,MI,Data Engineer,87932
2022,MI,Data Engineer,76940
2022,MI,Data Engineer,104702
2022,MI,Data Engineer,91614
2022,MI,Data Engineer,65949
2022,MI,Data Engineer,87932
2022,SE,Machine Learning Engineer,189650
2022,SE,Machine Learning Engineer,164996
2022,MI,Data Analyst,43966
2022,MI,Data Analyst,32974
2022,MI,Data Engineer,98158
2022,MI,Data Engineer,78526
2022,SE,Data Scientist,215300
2022,MI,Data Engineer,76940
2022,SE,Data Engineer,209100
2022,SE,Data Engineer,154600
2022,SE,Data Engineer,180000
2022,EN,ML Engineer,21983
2022,SE,Data Engineer,80000
2022,MI,Machine Learning Developer,78791
2022,EX,Director of Data Science,196979
2022,MI,Machine Learning Engineer,120000
2022,EN,Computer Vision Engineer,125000
2022,MI,NLP Engineer,37236
2022,SE,Data Engineer,105000
2022,SE,Lead Machine Learning Engineer,87932
2022,MI,Business Data Analyst,18442
2022,MI,Data Scientist,31615
2022,MI,Machine Learning Infrastructure Engineer,58255
2022,EN,Financial Data Analyst,100000
2022,MI,Data Engineer,54957
2022,EN,Data Scientist,18442
2022,SE,Principal Data Scientist,162674
2022,EN,Data Engineer,120000
2022,SE,Research Scientist,144000
2022,SE,Data Scientist,104890
2022,SE,Data Engineer,100000
2022,SE,Data Scientist,140000
2022,MI,Data Analyst,135000
2022,MI,Data Analyst,50000
2022,SE,Data Scientist,220000
2022,SE,Data Scientist,140000
2022,MI,Data Scientist,183228
2022,MI,Data Scientist,91614
2022,SE,Data Scientist,185100
2022,SE,Machine Learning Engineer,220000
2022,MI,Data Scientist,200000
2022,MI,Data Scientist,120000
2022,SE,Machine Learning Engineer,120000
2022,SE,Machine Learning Engineer,65000
2022,EX,Data Engineer,324000
2022,EX,Data Engineer,216000
2022,SE,Data Engineer,210000
2022,SE,Machine Learning Engineer,120000
2022,SE,Data Scientist,230000
2022,EN,Data Scientist,100000
2022,MI,Data Scientist,100000
2022,EN,Applied Machine Learning Scientist,31875
2022,SE,Head of Data,200000
2022,MI,Principal Data Analyst,75000
2022,MI,Data Scientist,35590
2022,SE,Machine Learning Developer,78791
2022,SE,Data Scientist,100000
2022,MI,Machine Learning Scientist,153000
2022,EN,Data Engineer,58035
2022,SE,Data Scientist,165000
2022,SE,Research Scientist,93427
2022,EN,Data Scientist,52396
2022,SE,Machine Learning Engineer,62651
2022,MI,Head of Data,32974
2022,EN,Data Scientist,40000
2022,MI,Machine Learning Engineer,87425
2022,SE,Data Engineer,115000
2022,EN,Data Scientist,86703
2022,MI,Applied Machine Learning Scientist,75000
2022,MI,Research Scientist,64849
2022,EN,Research Scientist,120000
2022,MI,Applied Data Scientist,157000
2022,EN,Computer Vision Software Engineer,150000
2022,MI,Business Data Analyst,70912
2022,EN,Data Engineer,65000
2022,SE,Machine Learning Engineer,71444
2022,EN,Data Analytics Engineer,20000
2022,MI,Data Scientist,48000
2022,SE,Data Science Manager,152500
2022,MI,Data Engineer,68147
2022,MI,Data Scientist,122346
2022,SE,Applied Data Scientist,380000
2022,MI,Data Scientist,69336
2022,EN,Computer Vision Engineer,10000
2022,MI,Data Analyst,20000
2022,SE,Data Analytics Lead,405000
2022,MI,Data Scientist,135000
2022,SE,Applied Data Scientist,177000
2022,MI,Data Scientist,78000
2022,SE,Data Analyst,135000
2022,SE,Data Analyst,100000
2022,SE,Data Analyst,90320
2022,MI,Data Analyst,85000
2022,MI,Data Analyst,75000
2022,SE,Machine Learning Engineer,214000
2022,SE,Machine Learning Engineer,192600
2022,SE,Data Architect,266400
2022,SE,Data Architect,213120
2022,SE,Data Analyst,112900
2022,SE,Data Engineer,155000
2022,MI,Data Scientist,141300
2022,MI,Data Scientist,102100
2022,SE,Data Analyst,115934
2022,SE,Data Analyst,81666
2022,MI,Data Engineer,206699
2022,MI,Data Engineer,99100
2022,SE,Data Engineer,130000
2022,SE,Data Engineer,115000
2022,SE,Data Engineer,110500
2022,SE,Data Engineer,130000
2022,SE,Data Analyst,99050
2022,SE,Data Engineer,160000
2022,SE,Data Scientist,205300
2022,SE,Data Scientist,140400
2022,SE,Data Scientist,176000
